,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 6, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD. SANCHEZ TABOADA 10116 INT. 301, ZONA RIO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2004, 0166 4684 9307,notaria6tj@prodigy.net.mx,
1,NOTARÍA 2, PLAYAS DE ROSARITO, BAJA CALIFORNIA, CARACTER: TITULAR, AV. ALTA TENSION 2005, CONSTITUCION  PLAYAS DE ROSARITO, BAJA CALIFORNIA, Socio desde: 2013, ,acthomas@notariadosrosarito.com,
2,NOTARÍA 4, ENSENADA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. MOCTEZUMA 671, ZONA CENTRO  ENSENADA, BAJA CALIFORNIA, Socio desde: 1994, 0164 6174 0706,notaria@not4eda.com,
3,NOTARÍA 14, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, PASEO DEL PEDREGAL SECC JARDINES 707, FRACC PLAYAS DE TIJUANA  TIJUANA, BAJA CALIFORNIA, Socio desde: 1994, 0166 4630 8734,elizondo@notaria14.com,
4,NOTARÍA 14, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, AV. LERDO DE TEJADA 1299, NUEVA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2000, 0168 6551 9414,not14@prodigy.net.mx,
5,NOTARÍA 13, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, BLVD. DIAZ ORDAZ 15487 INT. 4 Y 5, FRACC LAS HUERTAS  TIJUANA, BAJA CALIFORNIA, Socio desde: 1996, 0166 4629 0711,not13tij@prodigy.net.mx,
6,NOTARÍA 9, MEXICALI, BAJA CALIFORNIA, CARACTER: TITULAR, PINO SUAREZ 1595, NUEVA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2012, 01 686 554 2405,cerc@notaria9.com,
7,NOTARÍA 5, ENSENADA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. ALVARADO PLAZA VILLA MEXICANA 143 INT. LOCAL 1 SECCION I-J, CENTRO  ENSENADA, BAJA CALIFORNIA, Socio desde: 1992, 0164 6178 3847,diegomonsivais@notaria5ensenada.com,
8,NOTARÍA 6, SAN QUINTIN, BAJA CALIFORNIA, CARACTER: TITULAR, AV. B ESQ.CON CALLE 9NA. 140, FRACC. CIUDAD SAN QUINTIN  SAN QUINTIN, BAJA CALIFORNIA, Socio desde: 2012, 01 616 166 8581,licsayuri@notaria6ensenada.com,
9,NOTARÍA 4, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, EDMUNDO O’GORMAN # 2333, ZONA RIO  TIJUANA, BAJA CALIFORNIA, Socio desde: 2004, 0166 4685 7182,enavarro@notariacuatro.com.mx,
10,NOTARÍA 15, TIJUANA, BAJA CALIFORNIA, CARACTER: ADSCRITO, AVE. UNIVERSIDAD 2204, INDECO UNIVERSIDAD  TIJUANA, BAJA CALIFORNIA, Socio desde: 2018, 01 664 624 16 61,enedgallagas@notaria15tijuana.com,
11,NOTARÍA 15, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, AV. UNIVERSIDAD DELEG MESA DE OTAY 2204, FRACC. INDECO-UNIVERSIDAD  TIJUANA, BAJA CALIFORNIA, Socio desde: 1996, 0166 4624 1661,notenriquege@notaria15tijuana.com,
12,NOTARÍA 13, MEXICALI, BAJA CALIFORNIA, CARACTER: ADSCRITO, BLVD. LAZARO CARDENAS 591, EX EJIDO COAHUILA  MEXICALI, BAJA CALIFORNIA, Socio desde: 2018, 01 686 837 36 14,gabrielgonzalezm@hotmail.com,
13,NOTARÍA 2, TIJUANA, BAJA CALIFORNIA, CARACTER: TITULAR, NEZAHUALCOYOTL 1204 INT. DESP 203, ZONA DEL RIO  TIJUANA, BAJA CALIFORNIA, Socio desde: 1991, 0166 4683 5046,gmoreno@notariados.com.mx,
