,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 7, PICHUCALCO, CHIAPAS, CARACTER: TITULAR, AV 5 DE MAYO 15, CENTRO  PICHUCALCO, CHIAPAS, Socio desde: 2006, 01 932 323 1347,notaria_publica_no.07@hotmail.com
1,NOTARÍA 7, PICHUCALCO, CHIAPAS, CARACTER: ADJUNTO, AV. 5 DE MAYO 15, CENTRO  PICHUCALCO, CHIAPAS, Socio desde: 2013, 01 932 323 1347,notaria_publica_no.07@hotmail.com
2,NOTARÍA 143, EMILIANO ZAPATA, CHIAPAS, CARACTER: TITULAR, 3RA PONIENTE SUR 159, 20 DE NOVIEMBRE  EMILIANO ZAPATA, CHIAPAS, Socio desde: 2017, 019616538078,notario143adeldiaz@hotmail.com
3,NOTARÍA 117, COMITAN DE DOMINGUEZ, CHIAPAS, CARACTER: TITULAR, 1A AVENIDA PONIENTE SUR 15, CENTRO  COMITAN DE DOMINGUEZ, CHIAPAS, Socio desde: 2011, 19636320493,notaria117chiapas@hotmail.com
4,NOTARÍA 172, TAPACHULA, CHIAPAS, CARACTER: TITULAR, 6A. AVENIDA NORTE 113, CENTRO  TAPACHULA, CHIAPAS, Socio desde: 2013, 962 6250407,notaria172chis@hotmail.com
5,NOTARÍA 180, TUXTLA GUTIERREZ, CHIAPAS, CARACTER: TITULAR, TULIPANES 145, LOS LAURELES  TUXTLA GUTIERREZ, CHIAPAS, Socio desde: 2013, ,notaria180chiapas@gmail.com
6,NOTARÍA 136, TUXTLA GUTIERREZ, CHIAPAS, CARACTER: TITULAR, BOULEVARD 28 DE AGOSTO 250 INT. CALZADA JARDIN CORONA, FOVISSSTE 2  TUXTLA GUTIERREZ, CHIAPAS, Socio desde: 2011, 019612230251,alejandro.orantes@notario136.com
7,NOTARÍA 165, SUCHIAPA, CHIAPAS, CARACTER: TITULAR, CENTRAL SUR Y AVENIDA SEGUNDA SUR ORIENTE S/N, BARRIO SAN ESTEBAN  SUCHIAPA, CHIAPAS, Socio desde: 2019, 01 961 32 19 763,not165chis@hotmail.com
8,NOTARÍA 91, OCOSINGO, CHIAPAS, CARACTER: TITULAR, CARRETERA INTERNACIONAL OCOSINGO – SAN CRISTOBAL DE LAS CASAS S/N, BARRIO GUADALUPE  OCOSINGO, CHIAPAS, Socio desde: 2007, 01 919 673 2020,notangelcarballo@notaria91chiapas.com.mx
9,NOTARÍA 17, TAPACHULA, CHIAPAS, CARACTER: TITULAR, 9a AVENIDA NORTE 86, CENTRO  TAPACHULA, CHIAPAS, Socio desde: 2002, LOS MIMOS TELEFONOS,diazathie@notaria17chiapas.com.mx
10,NOTARÍA 56, TAPACHULA DE CORDOVA Y ORDOÑEZ, CHIAPAS, CARACTER: TITULAR, CALLE CENTRAL ORIENTE 12, TAPACHULA CENTRO  TAPACHULA DE CORDOVA Y ORDOÑEZ, CHIAPAS, Socio desde: 2018, 962 6 25 12 63 ,melgar01@prodigy.net.mx
11,NOTARÍA 92, CHAMULA, CHIAPAS, CARACTER: TITULAR, 2DA AV. CENTRAL 7, CENTRO  CHAMULA, CHIAPAS, Socio desde: 2009, ,antohe10@hotmail.com
12,NOTARÍA 36, TAPACHULA, CHIAPAS, CARACTER: ADJUNTO, NOVENA ORIENTE 7 INT. PRIMER PISO, CENTRO  TAPACHULA, CHIAPAS, Socio desde: 2013, 19621183357,amorales@notaria36chiapas.com
13,NOTARÍA 173, TUXTLA GUTIERREZ, CHIAPAS, CARACTER: TITULAR, BOULEVARD BELISARIO DOMINGUEZ KM 1081 INT. LOCAL 1, FRACC JARDINES DE TUXTLA  TUXTLA GUTIERREZ, CHIAPAS, Socio desde: 2013, ,blancaluzorozco@yahoo.com
14,NOTARÍA 30, TUXTLA GUTIERREZ, CHIAPAS, CARACTER: TITULAR, PERIFERICO SUR PTE. 1150, CENTRO  TUXTLA GUTIERREZ, CHIAPAS, Socio desde: 2002, 01 961 611 15 48,bfalconi@prodigy.net.mx
15,NOTARÍA 116, SAN CRISTOBAL DE LAS CASAS, CHIAPAS, CARACTER: TITULAR, EJERCITO NACIONAL 13, BARRIO DEL CERRILLO  SAN CRISTOBAL DE LAS CASAS, CHIAPAS, Socio desde: 2010, ,notaria116_ban@hotmail.com
