,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 2, CAMARGO, CHIHUAHUA, CARACTER: TITULAR, CALLE HIDALGO 123, CENTRO  CAMARGO, CHIHUAHUA, Socio desde: 2010, 01 648 462 5202,notariadoscamargo@hotmail.com,
1,NOTARÍA 18, JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AVENIDA 16 DE SEPTIEMBRE 2026, PARTIDO ROMERO  JUAREZ, CHIHUAHUA, Socio desde: 2016, 6566124455,alejandro@alvarez.mx,
2,NOTARÍA 7, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, PASEO BOLIVAR 702, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2017, 6144166721,abm@notaria7.mx,
3,NOTARÍA 19, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AV. EJERCITO NACIONAL 7695 INT. C, PARTIDO IGLESIAS  CD. JUAREZ, CHIHUAHUA, Socio desde: 1993, ,agonzalez@egao.com.mx,
4,NOTARÍA 1, JOSE MARIANO JIMENEZ, CHIHUAHUA, CARACTER: TITULAR, SOR JUANA INES DE LA CRUZ 1004 INT. LOCAL 4, ABRAHAM GONZALEZ  JOSE MARIANO JIMENEZ, CHIHUAHUA, Socio desde: 2017, 01 629 542 67 48,notaria1jimenez@gmail.com,
5,NOTARÍA 27, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ANTONIO DE ESCORZA 2309, OBRERA  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, ,notaria27chih@prodigy.net.mx,
6,NOTARÍA 27, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, PASEO TRIUNFO DE LA REPUBLICA 4020 INT. 1, MONUMENTAL  CD. JUAREZ, CHIHUAHUA, Socio desde: 1995, 01656 639 1527,antonio.suarez@notaria27juarez.com,
7,NOTARÍA 23, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE CORONADO 310, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1991, ,not23chi@prodigy.net.mx,
8,NOTARÍA 16, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ALLENDE 703, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2010, LOS MISMOS,carlosgarza@notaria16chih.com.mx,
9,NOTARÍA 17, CIUDAD JUAREZ, CHIHUAHUA, CARACTER: TITULAR, BULEVARD TOMAS FERNANDEZ 7818 INT. 7 Y 8, FRACCIONAMIENTO CAMPESTRE  CIUDAD JUAREZ, CHIHUAHUA, Socio desde: 1997, ,notaria17cdj@hotmail.com,
10,NOTARÍA 4, CD JUAREZ, CHIHUAHUA, CARACTER: TITULAR, PASEO TRIUNFO DE LA REPUBLICA, EDIF. CUADRANTE 3304 INT. 101, PARTIDO ESCOBEDO  CD JUAREZ, CHIHUAHUA, Socio desde: 1981,, 'com');eduardo.romero@bakermckenzie.com]
11,NOTARÍA 25, JUAN ALDAMA, CHIHUAHUA, CARACTER: TITULAR, AVENIDA CONSTITUCION 4803, ALDAMA CENTRO  JUAN ALDAMA, CHIHUAHUA, Socio desde: 2015, 01 614 451 0387,elsaordonezo@yahoo.com,
12,NOTARÍA 3, CUAUHTEMOC, CHIHUAHUA, CARACTER: TITULAR, CALLE 23 642 A, SAN ANTONIO  CUAUHTEMOC, CHIHUAHUA, Socio desde: 2016, 6255828284,enrique@aguilaryasociados.com,
13,NOTARÍA 18, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE CUARTA 2023, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, 01 614-415-11-79,notario@aguilaryasociados.com,
14,NOTARÍA 24, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, AV. TEOFILO BORUNDA 2417, JARDINES DEL SANTUARIO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2008, 01 614 411 6317,egarcia@notario24.com.mx,
15,NOTARÍA 4, CUAUHTEMOC, CHIHUAHUA, CARACTER: TITULAR, AVENIDA HIDALGO 663, CENTRO  CUAUHTEMOC, CHIHUAHUA, Socio desde: 2017, 625 582 59 69,fihchagelsieb@yahoo.com.mx,
16,NOTARÍA 28, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, PRESA DEL BOSQUE 4408, FRACC. LOMAS DEL SANTUARIO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, EL MISMO,notaria.28@prodigy.net.mx,
17,NOTARÍA 5, PEDRO MEOQUI, CHIHUAHUA, CARACTER: TITULAR, MELCHOR OCAMPO 204, CENTRO  PEDRO MEOQUI, CHIHUAHUA, Socio desde: 2017, 01 639 467 80 14,fosaenz@notaria5meoqui.com.mx,
18,NOTARÍA 29, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, BOULEVARD GOMEZ MORIN 7805, FRACCIONAMIENTO CAMPESTRE  CD. JUAREZ, CHIHUAHUA, Socio desde: 1997, 0165 6623 2970,fff@notaria29.com,
19,NOTARÍA 2, OJINAGA, CHIHUAHUA, CARACTER: TITULAR, BOLIVAR 402, CENTRO  OJINAGA, CHIHUAHUA, Socio desde: 2017, 01 626 453 14 36,notaria2ojinaga@hotmail.com,
20,NOTARÍA 2, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, AVENIDA DIVISION DEL NORTE 305, SAN FELIPE  CHIHUAHUA, CHIHUAHUA, Socio desde: 2009, 01 614 201 0222,notario@notaria2chihuahua.com.mx,
21,NOTARÍA 2, CUAUHTEMOC, CHIHUAHUA, CARACTER: TITULAR, CALLE 2A 855, ZONA CENTRO  CUAUHTEMOC, CHIHUAHUA, Socio desde: 1993, 01 625 581 21 21,notariano2@yahoo.com.mx,
22,NOTARÍA 4, HIDALGO DEL PARRAL, CHIHUAHUA, CARACTER: TITULAR, OJINAGA 11, CENTRO  HIDALGO DEL PARRAL, CHIHUAHUA, Socio desde: 2002, 01 628 524 04 88,fernando_ulloa@prodigy.net.mx,
23,NOTARÍA 1, NUEVO CASAS GRANDES, CHIHUAHUA, CARACTER: TITULAR, LIBERTAD 308, CENTRO  NUEVO CASAS GRANDES, CHIHUAHUA, Socio desde: 1993, 01 636 694 8710,notncg@hotmail.com,
24,NOTARÍA 30, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AV. DE LA RAZA 4200 OTE, FRACC. LOS NOGALES  CD. JUAREZ, CHIHUAHUA, Socio desde: 2002, 0165 6616 8388 EXT. 11,notario@notaria30.com,
25,NOTARÍA 9, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ALLENDE 500, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1980, 0161 4410 8911,fragar@prodigy.net.mx,
26,NOTARÍA 1, HIDALGO DEL PARRAL, CHIHUAHUA, CARACTER: TITULAR, PLAZUELA INDEPENDENCIA 1, CENTRO  HIDALGO DEL PARRAL, CHIHUAHUA, Socio desde: 2004, 01 627 523 33 35,notariaramirez@prodigy.net.mx,
27,NOTARÍA 1, JUAREZ, CHIHUAHUA, CARACTER: TITULAR, BOULEVARD MANUEL GOMEZ MORIN 7449, FRACCIONAMIENTO RINCONES DE SAN MARCOS  JUAREZ, CHIHUAHUA, Socio desde: 2015, 656-617-94-78,notario@notario1.com,
28,NOTARÍA 3, NUEVO CASAS GRANDES, CHIHUAHUA, CARACTER: TITULAR, AV. CONSTITUCION 516, CENTRO  NUEVO CASAS GRANDES, CHIHUAHUA, Socio desde: 2004, 01 636 694 28 02,hectorjaurrieta@prodigy.net.mx,
29,NOTARÍA 8, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ANTONIO DE MONTES 2119, SAN FELIPE  CHIHUAHUA, CHIHUAHUA, Socio desde: 2002, 0161 4413 2105,hectormanuelnavarro@yahoo.com.mx,
30,NOTARÍA 15, JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AV. 16 DE SEPTIEMBRE 2145, PARTIDO ROMERO  JUAREZ, CHIHUAHUA, Socio desde: 2016, 656 6111152,hernandofelix@gmail.com,
31,NOTARÍA 6, DELICIAS, CHIHUAHUA, CARACTER: TITULAR, AV. AGRICULTURA 108, SECTOR ORIENTE  DELICIAS, CHIHUAHUA, Socio desde: 2010, 01 639 472 9304,jbalderrama@notario6.com.mx,
32,NOTARÍA 7, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AV. TECNOLOGICO 3575 INT. LOCAL 23, RINCON DEL VALLE  CD. JUAREZ, CHIHUAHUA, Socio desde: 1993, 01 656 558 0707,notaria_jadl@yahoo.com,
33,NOTARÍA 3, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AV. INSURGENTES 4790, FRACC. EL COLEGIO  CD. JUAREZ, CHIHUAHUA, Socio desde: 2000, ,notariatresjuarez@prodigy.net.mx,
34,NOTARÍA 8, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, CALLE FRESNO 171, CAMPESTRE JUAREZ  CD. JUAREZ, CHIHUAHUA, Socio desde: 1978, TODOS TELS Y FAX,aldel431109@hotmail.com,
35,NOTARÍA 2, CD. DELICIAS, CHIHUAHUA, CARACTER: TITULAR, CALLE TERCERA NORTE 513, CENTRO  CD. DELICIAS, CHIHUAHUA, Socio desde: 1978, 01-639-472-02-09,tavo01940@prodigy.net.mx,
36,NOTARÍA 3, CIUDAD DELICIAS, CHIHUAHUA, CARACTER: TITULAR, AV. PRIMERA ORIENTE 106, SECTOR ORIENTE  CIUDAD DELICIAS, CHIHUAHUA, Socio desde: 2006, ,notaria3delicias@hotmail.com,
37,NOTARÍA 22, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, PASEO BOLIVAR 300, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1976, 0161 4415 8909,jneavesn@prodigy.net.mx,
38,NOTARÍA 12, JUAREZ, CHIHUAHUA, CARACTER: TITULAR, IGNACIO DE LA PEÑA 1960, PARTIDO ROMERO  JUAREZ, CHIHUAHUA, Socio desde: 2010, 01 656 207 1700,jdowelld@msn.com,
39,NOTARÍA 22, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, GALEANA 678 INT. DESP 205, CENTRO  CD. JUAREZ, CHIHUAHUA, Socio desde: 1990, 01 656 612 61 70,notpub22_juarez@prodigy.net.mx,
40,NOTARÍA 2, GUERRERO, CHIHUAHUA, CARACTER: TITULAR, FRANCISCO I. MADERO 10, CENTRO  GUERRERO, CHIHUAHUA, Socio desde: 2011, 01 635 586 0469,notaria2guerrero@hotmail.com,
41,NOTARÍA 4, CIUDAD CAMARGO, CHIHUAHUA, CARACTER: TITULAR, GUADALUPE RIOS 18, CENTRO  CIUDAD CAMARGO, CHIHUAHUA, Socio desde: 1997, ,notjoser@hotmail.com,
42,NOTARÍA 32, CIUDAD JUAREZ, CHIHUAHUA, CARACTER: TITULAR, CALLE LAGUNA DE TAMIAHUA 6936 INT. 1B, MEXICO  CIUDAD JUAREZ, CHIHUAHUA, Socio desde: 2000, 6562275610,jsosa@n32juarez.com,
43,NOTARÍA 6, ASCENSION, CHIHUAHUA, CARACTER: TITULAR, AVENIDA ABASOLO 357, CENTRO  ASCENSION, CHIHUAHUA, Socio desde: 2010, 01 636 692 0319,juaneugenio_gamboa@hotmail.com,
44,NOTARÍA 20, JUAREZ, CHIHUAHUA, CARACTER: TITULAR, AVE. DE LA RAZA 6089, CONDESA  JUAREZ, CHIHUAHUA, Socio desde: 2015, 01 656 618 2000,notaria20juarez@notaria20.net,
45,NOTARÍA 4, DELICIAS, CHIHUAHUA, CARACTER: TITULAR, AVENIDA SEGUNDA NORTE 104, CENTRO  DELICIAS, CHIHUAHUA, Socio desde: 1967, 0163 9472 1812,lpmalagamba@hotmail.com,
46,NOTARÍA 26, MIGUEL AHUMADA, CHIHUAHUA, CARACTER: TITULAR, AV. MIGUEL AHUMADA 712 INT. B, CENTRO  MIGUEL AHUMADA, CHIHUAHUA, Socio desde: 2019, 01 656 63 43 864,notaria26ahumada@outlook.com,
47,NOTARÍA 10, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE OJINAGA 506, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2016, 614 41 025 14,liccalderon@hotmail.com,
48,NOTARÍA 4, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, ORTIZ DE CAMPOS 1107, SAN FELIPE  CHIHUAHUA, CHIHUAHUA, Socio desde: 1997, ,notaria4contabilidad@gmail.com,
49,NOTARÍA 6, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, AV. VENUSTIANO CARRANZA 1410, CENTRO  CHIHUAHUA, CHIHUAHUA, Socio desde: 1980, TELS. Y FAX,notaria6@encor.net.mx,
50,NOTARÍA 1, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE 26a 601, ZARCO  CHIHUAHUA, CHIHUAHUA, Socio desde: 2016, 01 614 41 15 555,moreilly@prodigy.net.mx,
51,NOTARÍA 9, CD. JUAREZ, CHIHUAHUA, CARACTER: TITULAR, CARLOS VILLARREAL 2389, MARGARITAS  CD. JUAREZ, CHIHUAHUA, Socio desde: 1995, ,not9db@prodigy.net.mx,
52,NOTARÍA 11, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, CALLE ESTRADA BOCANEGRA 1301, SAN FELIPE  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, 01 614 413 2722,maarzate@prodigy.net.mx,
53,NOTARÍA 26, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, JIMENEZ 1301, OBRERA  CHIHUAHUA, CHIHUAHUA, Socio desde: 1993, EXT 110 TODOS LOS TEL,recepcion@notaria26chih.com.mx,
54,NOTARÍA 17, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, EDIFICIO VERTICE AV. CALIFORNIA 5101 INT. DESP 105 Y 106, FRACC. LAS HACIENDAS  CHIHUAHUA, CHIHUAHUA, Socio desde: 2009, 01 614 430 0952,mrhbnotaria17@hotmail.com,
55,NOTARÍA 1, CUAUHTEMOC, CHIHUAHUA, CARACTER: TITULAR, CALZADA BELIZARIO CHAVEZ Y VIALIDAD VENEZUELA 5015, EX AGRICOLA SAN ANTONIO  CUAUHTEMOC, CHIHUAHUA, Socio desde: 2008, ,corralmarialuisa@hotmail.com,
56,NOTARÍA 20, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, BOULEVARD ANTONIO ORTIZ MENA 3120, ANGEL TRIAS  CHIHUAHUA, CHIHUAHUA, Socio desde: 2005, 01 614 413 2143,mcm0103@prodigy.net.mx,
57,NOTARÍA 21, CHIHUAHUA, CHIHUAHUA, CARACTER: TITULAR, TRASVIÑA Y RETES 2104, SAN FELIPE  CHIHUAHUA, CHIHUAHUA, Socio desde: 2004, EL MISMO,monicaesnayra@prodigy.net.mx,
