,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 66, TORREON, COAHUILA, CARACTER: TITULAR, CALLE JIMENEZ 353, CENTRO  TORREON, COAHUILA, Socio desde: 2014, 01 871 716 6396,notaria66torreon@hotmail.com
1,NOTARÍA 72, TORREON, COAHUILA, CARACTER: TITULAR, BLVD. INDEPENDENCIA 250 OTE, CENTRO  TORREON, COAHUILA, Socio desde: 2018, 01 871 189 13 76,notaria72trc@gmail.com
2,NOTARÍA 64, SALTILLO, COAHUILA, CARACTER: TITULAR, QUETZALCOATL 161, FRACC. RESIDENCIAL LOS PINOS  SALTILLO, COAHUILA, Socio desde: 2000, 0184 4415 3601,notaria64@yahoo.com.mx
3,NOTARÍA 17, CIUDAD ACUÑA, COAHUILA, CARACTER: TITULAR, CALLE GUERRERO 1410 INT. LOCAL 11, SAN ANDRES  CIUDAD ACUÑA, COAHUILA, Socio desde: 2018, 018777724596,notariapublica17arp@outlook.es
4,NOTARÍA 39, TORREON, COAHUILA, CARACTER: TITULAR, NIÑOS HEROES 273 SUR, CENTRO  TORREON, COAHUILA, Socio desde: 2015, ,notariapublica39@hotmail.com
5,NOTARÍA 27, TORREON, COAHUILA, CARACTER: TITULAR, CALLE MONACO 130, SAN ISIDRO  TORREON, COAHUILA, Socio desde: 2008, 01 871 228 0130,notariapublica27@hotmail.com
6,NOTARÍA 65, SALTILLO, COAHUILA, CARACTER: TITULAR, PROLONG. NORIEGA 614, PRIVADA LUXEMBURGO  SALTILLO, COAHUILA, Socio desde: 2000, 0184 4439 3508,notariapublica@prodigy.net.mx
7,NOTARÍA 1, MONCLOVA, COAHUILA, CARACTER: TITULAR, BRASIL 1007, GUADALUPE  MONCLOVA, COAHUILA, Socio desde: 1994, MISMOS,notariapublicauno_acr@prodigy.net.mx
8,NOTARÍA 117, SALTILLO, COAHUILA, CARACTER: TITULAR, BLVD. LUIS ECHEVERRIA ALVAREZ 1560 INT. PISO 7 LOCAL 702, GUANAJUATO ORIENTE  SALTILLO, COAHUILA, Socio desde: 2018, 01 844 439 09 45 ,notariap117@gmail.com
9,NOTARÍA 67, SALTILLO, COAHUILA, CARACTER: TITULAR, DE LA CRUZ 238, JARDINES DEL VALLE  SALTILLO, COAHUILA, Socio desde: 2000, ,notaria67saltillo@yahoo.com.mx
