,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 12, COLIMA, COLIMA, CARACTER: TITULAR, CONSTITUCION 180, CENTRO  COLIMA, COLIMA, Socio desde: 2011, 01 312 314 2235,notaria12colima@hotmail.com,
1,NOTARÍA 3, COLIMA, COLIMA, CARACTER: TITULAR, REFORMA 135, CENTRO  COLIMA, COLIMA, Socio desde: 2014, ,notaria3@delamadrid.com.mx,
2,NOTARÍA 2, TECOMAN, COLIMA, CARACTER: TITULAR, ABASOLO 339, CENTRO  TECOMAN, COLIMA, Socio desde: 2003, 01 313 324 32 14,licocon@notaria2tecoman.com,
3,NOTARÍA 7, COLIMA, COLIMA, CARACTER: ADSCRITO, BOULEVARD CAMINO REAL 38, CAMINO REAL  COLIMA, COLIMA, Socio desde: 2019, 01 31 23 12 86 86,hmichelcarrillo@gmail.com,
4,NOTARÍA 7, COLIMA, COLIMA, CARACTER: TITULAR, BLVD. CAMINO REAL 38, CAMINO REAL  COLIMA, COLIMA, Socio desde: 2007, 01 312 312 8686,notaria7hmc@hotmail.com,
5,NOTARÍA 6, MANZANILLO, COLIMA, CARACTER: TITULAR, BLVD. MIGUEL DE LA MADRID, COND. LAS PERLAS 2 1513, PLAYA AZUL  MANZANILLO, COLIMA, Socio desde: 1994,, 'net.mx');notaria6mzl@prodigy.net.mx]
6,NOTARÍA 2, COLIMA, COLIMA, CARACTER: TITULAR, ZARAGOZA 162, CENTRO  COLIMA, COLIMA, Socio desde: 1989, 01312 313-24-99,notari2@prodigy.net.mx,
7,NOTARÍA 4, TECOMAN, COLIMA, CARACTER: TITULAR, HIDALGO 39, CENTRO  TECOMAN, COLIMA, Socio desde: 2004, 01 31 33 24 03 34,llerenasteco@prodigy.net.mx,
8,NOTARÍA 2, MANZANILLO, COLIMA, CARACTER: TITULAR, AV LA AUDIENCIA 48 INT. A72, LA AUDIENCIA  MANZANILLO, COLIMA, Socio desde: 2002, 01 314 332 39 36,bravojimenez243_@hotmail.com,
9,NOTARÍA 3, MANZANILLO, COLIMA, CARACTER: ADSCRITO, AV. PASEO DE LAS GAVIOTAS 49 INT. PLANTA ALTA, VALLE DE LAS GARZAS  MANZANILLO, COLIMA, Socio desde: 2004, 01 314 332 55 20,notario@notariatresmzo.mx,
10,NOTARÍA 5, MANZANILLO, COLIMA, CARACTER: TITULAR, 21 DE MARZO 276, MANZANILLO CENTRO  MANZANILLO, COLIMA, Socio desde: 2015, 01 314 332 1639,jorgeleal86@gmail.com,
11,NOTARÍA 9, COLIMA, COLIMA, CARACTER: TITULAR, ALDAMA 552 INT. 303, CENTRO  COLIMA, COLIMA, Socio desde: 2000, 312.01.00,dlmadrid@prodigy.net.mx,
12,NOTARÍA 10, COLIMA, COLIMA, CARACTER: TITULAR, CONSTITUCION 135, CENTRO  COLIMA, COLIMA, Socio desde: 2013, 13123121710,miguelfloresnotarioadscrito@hotmail.com,
13,NOTARÍA 4, COLIMA, COLIMA, CARACTER: TITULAR, ZARAGOZA 170, CENTRO  COLIMA, COLIMA, Socio desde: 2014, 312 31 31106,notaria4colima@prodigy.net.mx,
14,NOTARÍA 13, COLIMA, COLIMA, CARACTER: TITULAR, GABINO BARREDA 161, CENTRO  COLIMA, COLIMA, Socio desde: 2003, 01 312 314 13 93,notario@notaria13colima.com.mx,
15,NOTARÍA 13, COLIMA, COLIMA, CARACTER: ADSCRITO, GABINO BARREDA 161, CENTRO  COLIMA, COLIMA, Socio desde: 2014, ,adscrito@notaria13colima.com.mx,
16,NOTARÍA 1, COLIMA, COLIMA, CARACTER: TITULAR, CALLE DE LA VEGA 80, CENTRO  COLIMA, COLIMA, Socio desde: 2000, ,notaria1col@hotmail.com,
17,NOTARÍA 1, MANZANILLO, COLIMA, CARACTER: SUBSTITUTO, BLVD. MIGUEL E LA MADRID PLAZA GOLDS S/N INT. LOCAL 7, LAS BRISAS  MANZANILLO, COLIMA, Socio desde: 2019, 01 314 332 1611,gordilloberra@hotmail.com,
18,NOTARÍA 14, VILLA DE ALVAREZ, COLIMA, CARACTER: TITULAR, INDEPENDENCIA 73, CENTRO  VILLA DE ALVAREZ, COLIMA, Socio desde: 2003, 01 312 330 44 41,notaria14rg@hotmail.com,
