,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 88, ESTADO DE MEXICO, ESTADO DE MEXICO, CARACTER: TITULAR, TLATLAYA 2 INT. 1, CENTRO URBANO  ESTADO DE MEXICO, ESTADO DE MEXICO, Socio desde: 2016, 5575937667,notaria88em@notaria88em.com,
1,NOTARÍA 108, CUAUTITLAN IZCALLI, ESTADO DE MEXICO, CARACTER: TITULAR, AV. DE LOS CHOPOS 44, ARCOS DEL ALBA  CUAUTITLAN IZCALLI, ESTADO DE MEXICO, Socio desde: 2000, 5873 3000,briceno@notaria108.mx,
2,NOTARÍA 183, NAUCALPAN DE JUAREZ, ESTADO DE MEXICO, CARACTER: TITULAR, FUENTE DE PIRAMIDES 16 INT. PISO 10, OFNA. 1, LOMAS DE TECAMACHALCO  NAUCALPAN DE JUAREZ, ESTADO DE MEXICO, Socio desde: 2018,, 'mx');a.agundis@notaria183.mx]
3,NOTARÍA 150, METEPEC, ESTADO DE MEXICO, CARACTER: TITULAR, AVENIDA TECNOLOGICO 124, LA VIRGEN  METEPEC, ESTADO DE MEXICO, Socio desde: 2006, 01 722 1 79 42 65,atencionaclientes@notaria150.com.mx,
4,NOTARÍA 44, HUIXQUILUCAN, ESTADO DE MEXICO, CARACTER: TITULAR, AV. DE LOS BOSQUES 137, LOMAS DE TECAMACHALCO  HUIXQUILUCAN, ESTADO DE MEXICO, Socio desde: 1995, 59-50 01 02,apt@notaria44.com.mx,
5,NOTARÍA 177, IXTLAHUACA, ESTADO DE MEXICO, CARACTER: INTERINO, MARIO MORENO REYES 100, SAN JOAQUIN, EL JUNCO  IXTLAHUACA, ESTADO DE MEXICO, Socio desde: 2013,, 'com');notaria177@gmail.com]
6,NOTARÍA 28, NEZAHUALCOYOTL, ESTADO DE MEXICO, CARACTER: INTERINO, SORJUANA INES DE LA CRUZ 411, EVOLUCION  NEZAHUALCOYOTL, ESTADO DE MEXICO, Socio desde: 2015, ,afgm28@live.com.mx,
7,NOTARÍA 17, TLALNEPANTLA, ESTADO DE MEXICO, CARACTER: INTERINO, CONVENTO DE ACTOPAN 18, JARDINES DE SANTA MONICA  TLALNEPANTLA, ESTADO DE MEXICO, Socio desde: 2012, EXT. 114,alfredocaso@notaria17edomex.com.mx,
8,NOTARÍA 163, MEXICO, ESTADO DE MEXICO, CARACTER: INTERINO, AV. DE LAS FUENTES 49 B INT. PISO 2, LOMAS DE TECAMACHALCO  MEXICO, ESTADO DE MEXICO, Socio desde: 2018, 24 87 35 83,anaporrasnot163@hotmail.com,
9,NOTARÍA 94, TOLUCA, ESTADO DE MEXICO, CARACTER: INTERINO, PROLONGACION 5 DE MAYO 938 INT. 201, VALLE DON CAMILO  TOLUCA, ESTADO DE MEXICO, Socio desde: 2000, 0172 2212 8003,augarte_not94@prodigy.net.mx,
10,NOTARÍA 160, ECATEPEC, ESTADO DE MEXICO, CARACTER: TITULAR, VIA MORELOS 421 INT. DESP 32, SANTA CLARA  ECATEPEC, ESTADO DE MEXICO, Socio desde: 2006, 3640 3671,aviesca@notaria160.com.mx,
