,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 20, GUADALAJARA, JALISCO, CARACTER: TITULAR, AV. LA PAZ 2530 INT. T, ARCOS SUR  GUADALAJARA, JALISCO, Socio desde: 1971, 0133 3615 2796,adalbertoortega@ortegaabogados.com.mx,
1,NOTARÍA 62, GUADALAJARA, JALISCO, CARACTER: TITULAR, AV. HIDALGO 1330, GUADALAJARA CENTRO  GUADALAJARA, JALISCO, Socio desde: 2012, 01 333 268 3200,lanotaria62@yahoo.com.mx,
2,NOTARÍA 96, GUADALAJARA, JALISCO, CARACTER: TITULAR, COLOMOS 2468, PROVIDENCIA  GUADALAJARA, JALISCO, Socio desde: 2010, 01 33 381 74 237,atalamantes@mstl.com.mx,
3,NOTARÍA 107, GUADALAJARA, JALISCO, CARACTER: TITULAR, JOSE MARIA VIGIL 867, ARTESANOS  GUADALAJARA, JALISCO, Socio desde: 2017, 333 8263958,notaria107gdl@hotmail.com,
4,NOTARÍA 17, GUADALAJARA, JALISCO, CARACTER: SUPLENTE, AURELIO L. GALLARDO 109, LADRON DE GUEVARA  GUADALAJARA, JALISCO, Socio desde: 2000, 0133 3616 6153,aibarra50@prodigy.net.mx,
5,NOTARÍA 14, GUADALAJARA, JALISCO, CARACTER: ADSCRITO, PEDRO MORENO 1456, AMERICANA  GUADALAJARA, JALISCO, Socio desde: 2008, 01 33 38 26 6016,escribania55@megared.net.mx,
6,NOTARÍA 97, GUADALAJARA, JALISCO, CARACTER: TITULAR, HIDALGO 1769, LADRON DE GUEVARA  GUADALAJARA, JALISCO, Socio desde: 2003, 0133 3818 0021,alberto.garcia@notaria97.net,
7,NOTARÍA 6, CIUDAD GUZMAN, JALISCO, CARACTER: TITULAR, JOSE CLEMENTE OROZCO FLORES 28, CENTRO  CIUDAD GUZMAN, JALISCO, Socio desde: 2012, 341 4123038,aevnotario6@gmail.com,
8,NOTARÍA 22, GUADALAJARA, JALISCO, CARACTER: TITULAR, COLOMOS 2468, PROVIDENCIA  GUADALAJARA, JALISCO, Socio desde: 1994, (01 33) 38-17-42-26,amoreno@mstl.com.mx,
9,NOTARÍA 143, GUADALAJARA, JALISCO, CARACTER: TITULAR, REFORMA 596, ZONA CENTRO  GUADALAJARA, JALISCO, Socio desde: 1980, TODOS LOS TELS.,organista@notaria143gdl.com.mx,
10,NOTARÍA 42, GUADALAJARA, JALISCO, CARACTER: TITULAR, PROGRESO 446, AMERICANA  GUADALAJARA, JALISCO, Socio desde: 1994, 01 33 38 25 05 08,notaria42zapopan@prodigy.net.mx,
11,NOTARÍA 89, GUADALAJARA, JALISCO, CARACTER: TITULAR, BUENOS AIRES 2946, PROVIDENCIA  GUADALAJARA, JALISCO, Socio desde: 2007, 01 333 640 0100,notaria89gdl@hotmail.com,
