,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 109, MORELIA, MICHOACAN, CARACTER: SUPLENTE, IGNACIO ZARAGOZA 195 INT. 1 Y 2, CENTRO  MORELIA, MICHOACAN, Socio desde: 2007, 01 443 312 8547,notaria_109@hotmail.com
1,NOTARÍA 61, , MICHOACAN, CARACTER: SUPLENTE, IBARRA 3 INT. 8, CENTRO  , MICHOACAN, Socio desde: 2018, 0143434201515,alan_arlo@hotmail.com
2,NOTARÍA 183, VILLA MADERO, MICHOACAN, CARACTER: TITULAR, AV. REVOLUCION 89-A, VILLA MADERO  VILLA MADERO, MICHOACAN, Socio desde: 2016, 01 459 3412 183,notaria183aal@gmail.com
3,NOTARÍA 85, URUAPAN, MICHOACAN, CARACTER: TITULAR, AV. PASEO LAZARO CARDENAS 10 INT. 104-105, MORELOS  URUAPAN, MICHOACAN, Socio desde: 2005, 01 452 52 4 69 97,notaria.85@hotmail.com
4,NOTARÍA 171, MORELIA, MICHOACAN, CARACTER: TITULAR, NICOLAS DE PALACIOS RUBIOS 221, NUEVA VALLADOLID  MORELIA, MICHOACAN, Socio desde: 2016, 4433125131,alejandro.mendez@notariapublica171.com
5,NOTARÍA 44, LA PIEDAD, MICHOACAN, CARACTER: TITULAR, JUAREZ 178, CENTRO  LA PIEDAD, MICHOACAN, Socio desde: 2009, 01 352 52 21009,notario.publico@yahoo.com.mx
6,NOTARÍA 145, MORELIA, MICHOACAN, CARACTER: TITULAR, J. SEBASTIAN BACH 237, LA LOMA  MORELIA, MICHOACAN, Socio desde: 2009, 01 443 387 6089,alfonsocvaca@hotmail.com
7,NOTARÍA 101, LA PIEDAD, MICHOACAN, CARACTER: TITULAR, CALLE 16 DE SEPTIEMBRE 11, CENTRO  LA PIEDAD, MICHOACAN, Socio desde: 2000, ,not101@prodigy.net.mx
8,NOTARÍA 164, JIQUILPAN, MICHOACAN, CARACTER: TITULAR, AV. LAZARO CARDENAS NORTE 160 INT. 3, CENTRO  JIQUILPAN, MICHOACAN, Socio desde: 2011, 01 353 533 1814,np164@live.com.mx
9,NOTARÍA 141, MORELIA, MICHOACAN, CARACTER: TITULAR, DR. IGNACIO CHAVEZ 145, LAS CAMELINAS  MORELIA, MICHOACAN, Socio desde: 2014, 01 443 324 6769,manzanoa@armandomanzano.com
10,NOTARÍA 185, TUZANTLA, MICHOACAN, CARACTER: TITULAR, AVENIDA SIXTO VERDUZCO 17, CENTRO  TUZANTLA, MICHOACAN, Socio desde: 2016, 786 48 80055,notariapublica185@hotmail.com
11,NOTARÍA 29, URUAPAN, MICHOACAN, CARACTER: TITULAR, MORELOS 37, CENTRO HISTORICO  URUAPAN, MICHOACAN, Socio desde: 2016, 452 5231 3111,not29_uruapan@hotmail.com
12,NOTARÍA 102, MORELIA, MICHOACAN, CARACTER: TITULAR, FRANCISCO ORTIZ RUBIO 40 INT. 101-B, NUEVA CHAPULTEPEC  MORELIA, MICHOACAN, Socio desde: 1994, TODOS LOS TELS.,notarypublic102@hotmail.com
13,NOTARÍA 74, ZITACUARO, MICHOACAN, CARACTER: TITULAR, DR EMILIO GARCIA SUR 46, IGNACIO ZARAGOZA  ZITACUARO, MICHOACAN, Socio desde: 2011, ,notario_74@yahoo.com.mx
14,NOTARÍA 91, CUITZEO, MICHOACAN, CARACTER: TITULAR, ANTONIO DE MENDOZA 7, CENTRO  CUITZEO, MICHOACAN, Socio desde: 2016, 014553570142,notaria91cuitzeo@hotmail.com
15,NOTARÍA 18, ZAMORA, MICHOACAN, CARACTER: SUPLENTE, AMADO NERVO 117 OTE., CENTRO  ZAMORA, MICHOACAN, Socio desde: 2018, 01 351 512 09 10,martinez@zra.megared.net.mx
16,NOTARÍA 93, MORELIA, MICHOACAN, CARACTER: TITULAR, FRAY PEDRO DE GANTE 86 INT. 3, 5 DE MAYO  MORELIA, MICHOACAN, Socio desde: 2015, 01 443 312 9831,liccarlosvitalnot93@gmail.com
17,NOTARÍA 36, HEROICA ZITACUARO, MICHOACAN, CARACTER: TITULAR, DR. EMILIO GARCIA SUR 27, CENTRO  HEROICA ZITACUARO, MICHOACAN, Socio desde: 2000, 01 715 153-11-03,notaria_36_michoacan@hotmail.com
18,NOTARÍA 22, URUAPAN, MICHOACAN, CARACTER: TITULAR, CUPATITZIO 23 INT. 1, CENTRO  URUAPAN, MICHOACAN, Socio desde: 1975, 01 452-523-31-80,augusgv@prodigy.net.mx
19,NOTARÍA 177, IRIMBO, MICHOACAN, CARACTER: TITULAR, AV. MORELOS 41, CENTRO  IRIMBO, MICHOACAN, Socio desde: 2013, ,nota177@hotmail.com
20,NOTARÍA 128, MORELIA, MICHOACAN, CARACTER: TITULAR, AV. LAZARO CARDENAS 2239 INT. 2, CHAPULTEPEC NORTE  MORELIA, MICHOACAN, Socio desde: 2004, 01 443 315 18 27,nota128@hotmail.com
21,NOTARÍA 66, ZAMORA , MICHOACAN, CARACTER: TITULAR, GUERRERO ORIENTE 20 INT. 9, ZAMORA  ZAMORA , MICHOACAN, Socio desde: 2016, 01 351 512 29 25,licjonathanvillasenor@hotmail.com
22,NOTARÍA 120, MORELIA, MICHOACAN, CARACTER: SUPLENTE, DEL ESTUDIANTE 124, MATAMOROS  MORELIA, MICHOACAN, Socio desde: 2018, 01 443 31 44416,isabelnotaria120@yahoo.com.mx
23,NOTARÍA 24, PATZCUARO, MICHOACAN, CARACTER: TITULAR, CODALLOS 28, CENTRO  PATZCUARO, MICHOACAN, Socio desde: 2016, 01 434 34 20 500,patzno24@hotmail.com
24,NOTARÍA 19, MORELIA, MICHOACAN, CARACTER: TITULAR, MELCHOR OCAMPO 162, CENTRO  MORELIA, MICHOACAN, Socio desde: 1999, (01 443) 312-39-20,eduardochc@prodigy.net.mx
25,NOTARÍA 42, URUAPAN, MICHOACAN, CARACTER: TITULAR, LISBOA 256, HUERTAS DE CUPATITZIO  URUAPAN, MICHOACAN, Socio desde: 1993, ,estradecus@hotmail.com
26,NOTARÍA 53, ZAMORA, MICHOACAN, CARACTER: TITULAR, MORELOS SUR 350, CENTRO  ZAMORA, MICHOACAN, Socio desde: 2007, 01 351 5158666,notaria53_michoacan@hotmail.com
27,NOTARÍA 20, ZINAPECUARO, MICHOACAN, CARACTER: TITULAR, CALZADA LAZARO CARDENAS 77, CENTRO  ZINAPECUARO, MICHOACAN, Socio desde: 2003, 01 451 355 04 54,save1962@live.com.mx
28,NOTARÍA 190, URUAPAN, MICHOACAN, CARACTER: TITULAR, AV. PASEO GRAL. LAZARO CARDENAS 1501, LOS ANGELES  URUAPAN, MICHOACAN, Socio desde: 2015, 01 452 524 49 60,notario190@gmail.com
29,NOTARÍA 9, JIQUILPAN, MICHOACAN, CARACTER: TITULAR, LAZARO CARDENAS 35 NTE, CENTRO  JIQUILPAN, MICHOACAN, Socio desde: 2004, 01 353 533 31 98,notarionueve@prodigy.net.mx
30,NOTARÍA 45, LOS REYES, MICHOACAN, CARACTER: TITULAR, GALEANA 4 INT. PLANTA BAJA, CENTRO  LOS REYES, MICHOACAN, Socio desde: 2004, 01 354 54 220 17,notaria45mich@prodigy.net.mx
31,NOTARÍA 83, PUREPERO, MICHOACAN, CARACTER: TITULAR, PORTAL MORELOS 11, CENTRO  PUREPERO, MICHOACAN, Socio desde: 1994, 01-471-36-605-53,notpub83@prodigy.net.mx
32,NOTARÍA 152, MORELIA, MICHOACAN, CARACTER: TITULAR, AVENIDA INSURGENTES 62, LOMAS DE HIDALGO  MORELIA, MICHOACAN, Socio desde: 2010, ,ecgn152@gmail.com
33,NOTARÍA 147, URUAPAN, MICHOACAN, CARACTER: TITULAR, URUGUAY 75, LOS ANGELES  URUAPAN, MICHOACAN, Socio desde: 2011, 01 423 593 0209,fabioladelaparra@hotmail.com
34,NOTARÍA 88, CD. HIDALGO, MICHOACAN, CARACTER: TITULAR, VIDAL SOLIS 73, CENTRO  CD. HIDALGO, MICHOACAN, Socio desde: 1999, ,notaria_88_michoacan@hotmail.com
35,NOTARÍA 134, MORELIA, MICHOACAN, CARACTER: TITULAR, BOULEVARD GARCIA DE LEON 188, DEL EMPLEADO  MORELIA, MICHOACAN, Socio desde: 2002, 01 443 324 76 70,orihuelacarmona134@yahoo.com
