,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 25, OAXACA, OAXACA, CARACTER: TITULAR, GUERRERO 309, CENTRO  OAXACA, OAXACA, Socio desde: 1988, 01 951 514-40-21,notaria25oax@hotmail.com
1,NOTARÍA 128, PUERTO ESCONDIDO, OAXACA, CARACTER: TITULAR, AVENIDA MITLA RETORNO B1, FRACCIONAMIENTO BACOCHO  PUERTO ESCONDIDO, OAXACA, Socio desde: 2016, 9545820473,notaria128puerto@gmail.com
2,NOTARÍA 60, H. TLAXIACO, OAXACA, CARACTER: TITULAR, CALLE COLON 17, CENTRO  H. TLAXIACO, OAXACA, Socio desde: 1993, ,not60@hotmail.com
3,NOTARÍA 57, PUERTO ESCONDIDO, OAXACA, CARACTER: TITULAR, CALLE PRIMERA SUR 509 B, SECTOR LIBERTAD  PUERTO ESCONDIDO, OAXACA, Socio desde: 1992, 01 954 582 01 09,not57oax@yahoo.com.mx
4,NOTARÍA 63, OAXACA, OAXACA, CARACTER: TITULAR, DIAZ ORDAZ 102 INT. DESPACHO 3, CENTRO  OAXACA, OAXACA, Socio desde: 2008, 01 951 514 2986,notaria63@hotmail.com
5,NOTARÍA 100, OAXACA DE JUAREZ, OAXACA, CARACTER: TITULAR, CARRETERA INTERNACIONAL 2221, SANTA LUCIA  OAXACA DE JUAREZ, OAXACA, Socio desde: 2010, 01 951 20 64 021,notarioarturo@hotmail.com
6,NOTARÍA 113, SANTA CRUZ HUATULCO, OAXACA, CARACTER: TITULAR, FLAMBOYAN 216 INT. 2, SECTOR H  SANTA CRUZ HUATULCO, OAXACA, Socio desde: 2009, 01 958 105 1517,notaria1131hux@outlook.es
7,NOTARÍA 79, SANTIAGO PINOTEPA NACIONAL, OAXACA, CARACTER: TITULAR, 2A. SUR 101, CENTRO  SANTIAGO PINOTEPA NACIONAL, OAXACA, Socio desde: 2005, 0195 4543 2018,not79oax@hotmail.com
8,NOTARÍA 55, TUXTEPEC, OAXACA, CARACTER: TITULAR, AVENIDA 5 DE MAYO 462, CENTRO  TUXTEPEC, OAXACA, Socio desde: 2009, 01 287 87 50174,licvergara55@hotmail.com
9,NOTARÍA 65, JUAREZ, OAXACA, CARACTER: TITULAR, LIBRES 710, CENTRO  JUAREZ, OAXACA, Socio desde: 2013, ,not65oax@hotmail.com
