,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 104, PLAYA DEL CARMEN, QUINTANA ROO, CARACTER: TITULAR, CARRETERA FEDERAL S/N, LUSI DONALDO COLOSIO  PLAYA DEL CARMEN, QUINTANA ROO, Socio desde: 2018, 01984 148 14 40,abigail@notaria-104.com.mx,
1,NOTARÍA 71, CANCUN, QUINTANA ROO, CARACTER: TITULAR, NICHEHABIN , SUPERMANZANA 24  CANCUN, QUINTANA ROO, Socio desde: 2014, ,notariapublica71qroo@gmail.com,
2,NOTARÍA 46, CANCUN PUERTO MORELOS, QUINTANA ROO, CARACTER: TITULAR, AV. NIÑOS HEROES INT. DEPTO 7, SUPERMANZANA 1  CANCUN PUERTO MORELOS, QUINTANA ROO, Socio desde: 2004, 01 998 2069 393,notarialunaol@gmail.com,
3,NOTARÍA 17, CHETUMAL, QUINTANA ROO, CARACTER: TITULAR, IGNACIO ZARAGOZA 288, CENTRO  CHETUMAL, QUINTANA ROO, Socio desde: 1993, 01 983-832-15-92,nota17@prodigy.net.mx,
4,NOTARÍA 40, CANCUN, QUINTANA ROO, CARACTER: TITULAR, CALLE TORONJA 14, CENTRO  CANCUN, QUINTANA ROO, Socio desde: 2007, 01 998 8847575 EXT. 103,notaria@notaria40cancun.com,
5,NOTARÍA 97, CANCUN, QUINTANA ROO, CARACTER: TITULAR, AVENIDA CHICHENITZA S/N INT. D-3 2N, SUPERMANZANA 27  CANCUN, QUINTANA ROO, Socio desde: 2018, 019982171962,abraham@notaria97cancun.com,
6,NOTARÍA 20, CANCUN, QUINTANA ROO, CARACTER: TITULAR, CALLE GRANADA 30, SUPER MANZANA 2 A  CANCUN, QUINTANA ROO, Socio desde: 1993, 01 998 884 7169,notaria20@notariacancun.com,
7,NOTARÍA 20, CANCUN, QUINTANA ROO, CARACTER: AUXILIAR, GRANADA 30, SUPERMANZANA 2-A  CANCUN, QUINTANA ROO, Socio desde: 2010, 01 998 884 7169,notaria20@notariacancun.com,
8,NOTARÍA 94, CANCUN, QUINTANA ROO, CARACTER: TITULAR, NIEBLA , SUPERMANZANA 18  CANCUN, QUINTANA ROO, Socio desde: 2018, 884 0190,bppolanco@hotmail.com,
9,NOTARÍA 39, CANCUN, QUINTANA ROO, CARACTER: TITULAR, RET 7 ROBALO 20 INT. A, SUPER MANZANA 3  CANCUN, QUINTANA ROO, Socio desde: 2007, 01 998 887 3477,info@notaria39.com.mx,
10,NOTARÍA 2, CANCUN, QUINTANA ROO, CARACTER: SUPLENTE, AV. NADER 29, SUPERMANZANA 2-A  CANCUN, QUINTANA ROO, Socio desde: 2008, 01 998 884 1293,bazancastro@yahoo.com.mx,
11,NOTARÍA 77, CANCUN BENITO JUAREZ, QUINTANA ROO, CARACTER: TITULAR, CALLE DOS SN INT. SEGUNDO PISO, CENTRO  CANCUN BENITO JUAREZ, QUINTANA ROO, Socio desde: 2013, ,recepcion@notaria77cancun.com,
12,NOTARÍA 38, CANCUN, QUINTANA ROO, CARACTER: TITULAR, AV. TANKAH , CENTRO  CANCUN, QUINTANA ROO, Socio desde: 2007, 01 998 892 01 11,carmen-nicolas@notaria38cancun.com,
13,NOTARÍA 18, CANCUN, QUINTANA ROO, CARACTER: TITULAR, AV. COBA 121, SUPER MANZANA 30  CANCUN, QUINTANA ROO, Socio desde: 1993, ,tovilla@notaria18cancun.com.mx,
14,NOTARÍA 113, CANCUN, QUINTANA ROO, CARACTER: SUPLENTE, AV. YAXCHILAN S/N INT. OFICINA 203, SUPERMANZANA 17  CANCUN, QUINTANA ROO, Socio desde: 2018, 019982677482,contabilidadnot113@gmail.com,
15,NOTARÍA 119, CANCUN, QUINTANA ROO, CARACTER: TITULAR, AVENIDA BONAMPAK S/N, SUPERMANZANA 3 CENTRO  CANCUN, QUINTANA ROO, Socio desde: 2018, 0199 86 88 07 56,dgonzalez@np119cancun.com,
16,NOTARÍA 113, CANCUN, QUINTANA ROO, CARACTER: TITULAR, AV. YAXCHILAN OFICINA 3, SUPERMANZANA 17  CANCUN, QUINTANA ROO, Socio desde: 2018, 01 998 26 77 482,contabilidadnot113@gmail.com,
17,NOTARÍA 43, CHETUMAL, QUINTANA ROO, CARACTER: TITULAR, AV. SAN SALVADOR 453, FRAMBOYANES  CHETUMAL, QUINTANA ROO, Socio desde: 2008, 01 983 129 1904,notaria43chetumal@hotmail.com,
18,NOTARÍA 16, CHETUMAL, QUINTANA ROO, CARACTER: TITULAR, AVENIDA EFRAIN AGUILAR 392 INT. 1, CAMPESTRE  CHETUMAL, QUINTANA ROO, Socio desde: 2011, ,elmerparedes@live.com.mx,
19,NOTARÍA 14, CANCUN, QUINTANA ROO, CARACTER: TITULAR, RETORNO PECARI 30, SUPERMANZANA 20  CANCUN, QUINTANA ROO, Socio desde: 2011, ,ennarosavr@hotmail.com,
20,NOTARÍA 55, CHETUMAL, QUINTANA ROO, CARACTER: TITULAR, AV. ALVARO OBREGON 226 INT. B, CENTRO  CHETUMAL, QUINTANA ROO, Socio desde: 2010, 01 983 833 4771,notarioalonso55@gmail.com,
21,NOTARÍA 45, PLAYA DEL CARMEN SOLIDARIDAD, QUINTANA ROO, CARACTER: AUXILIAR, AV. COLOSIO , SM 56 RESIDENCIAL SANTA FE  PLAYA DEL CARMEN SOLIDARIDAD, QUINTANA ROO, Socio desde: 2010, 01 998 877 1800,ehgraniel@prodigy.net.mx,
22,NOTARÍA 12, CANCUN, QUINTANA ROO, CARACTER: TITULAR, AV. NADER 4 INT. DESP A 12 Y 13, CENTRO  CANCUN, QUINTANA ROO, Socio desde: 2001, LOS MISMOS,ongs02@hotmail.com,
23,NOTARÍA 68, CANCUN, QUINTANA ROO, CARACTER: AUXILIAR, PLAZA BONITA MERCADO 28 ISLA b INT. LOCALES 1 Y 2 P BAJA, AV XEL-HA SUPERMANZANA 28  CANCUN, QUINTANA ROO, Socio desde: 2011, ,ftraconis20@hotmail.com,
24,NOTARÍA 10, CANCUN, QUINTANA ROO, CARACTER: TITULAR, CALLE ROSAS 22, SUPERMANZANA 22  CANCUN, QUINTANA ROO, Socio desde: 2019, 01 998 884 85 46,notariadiez_lechon@hotmail.com,
25,NOTARÍA 68, CANCUN, QUINTANA ROO, CARACTER: TITULAR, PLAZA BONITA ISLA B INT. LOCALES 1 Y 2, XELHA  CANCUN, QUINTANA ROO, Socio desde: 2012, 19988844083,notaria68qroo@gmail.com,
