,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 71, HERMOSILLO, SONORA, CARACTER: TITULAR, PEDRO MERENO Y BLVD. HIDALGO , CENTRO  HERMOSILLO, SONORA, Socio desde: 2010, 01 662 213 1936,notaria_71@hotmail.com,
1,NOTARÍA 52, OBREGON, SONORA, CARACTER: TITULAR, PUEBLA 207 NORTE, CENTRO  OBREGON, SONORA, Socio desde: 2015, 01 644 414 8743,amanjarreze@gmail.com,
2,NOTARÍA 49, MAGDALENA DE KINO, SONORA, CARACTER: TITULAR, MATAMOROS 502, CENTRO  MAGDALENA DE KINO, SONORA, Socio desde: 2014, 01 632 321 53 13,notaria49@outlook.com,
3,NOTARÍA 109, SAHUARIPA, SONORA, CARACTER: TITULAR, MORELOS 8, CENTRO  SAHUARIPA, SONORA, Socio desde: 2015, 6343 430261,alan@notaria109.com,
4,NOTARÍA 37, GUAYMAS, SONORA, CARACTER: TITULAR, AV. ALFONSO IBERRI 23, CENTRO  GUAYMAS, SONORA, Socio desde: 1974, 01 622 222 1174,alorlo@prodigy.net.mx,
5,NOTARÍA 13, GUAYMAS, SONORA, CARACTER: TITULAR, AV ALFONSO IBERRI 23, CENTRO  GUAYMAS, SONORA, Socio desde: 2013, 01 622 222 21174,alortegalo@hotmail.com,
6,NOTARÍA 50, HERMOSILLO, SONORA, CARACTER: TITULAR, DR. AGUILAR 25, CENTENARIO  HERMOSILLO, SONORA, Socio desde: 2010, 01 662 213 2880,catalina.notaria50@prodigy.net.mx,
7,NOTARÍA 99, NOGALES, SONORA, CARACTER: TITULAR, BLVD. EL GRECO 26 INT. LOCAL 4, PLAZA KALITEA  NOGALES, SONORA, Socio desde: 2000, MISMOS TELEFONOS,notario@notaria99.com,
8,NOTARÍA 60, CANANEA, SONORA, CARACTER: TITULAR, CAMINO REAL 1B, LINDA VISTA  CANANEA, SONORA, Socio desde: 2014, 01 645 332 0409,notariapublica_60@hotmail.com,
9,NOTARÍA 1, HERMOSILLO, SONORA, CARACTER: TITULAR, CALLE TAMAULIPAS 20, CENTRO  HERMOSILLO, SONORA, Socio desde: 2000, 01662* 212 06 41,notaria01@prodigy.net.mx,
10,NOTARÍA 43, HERMOSILLO, SONORA, CARACTER: TITULAR, IRINEO MICHEL 76, CENTENARIO LAS PALMAS  HERMOSILLO, SONORA, Socio desde: 1968, 01662 217 1512,notaria43@hotmail.com,
11,NOTARÍA 64, CD. OBREGON, SONORA, CARACTER: TITULAR, CALLE SINALOA 139 SUR, CENTRO  CD. OBREGON, SONORA, Socio desde: 1971, 0164 4415 1105,notario64@prodigy.net.mx,
12,NOTARÍA 74, CABORCA, SONORA, CARACTER: TITULAR, AV. N 39, CENTRO  CABORCA, SONORA, Socio desde: 2007, 01 637 372 7474,yajnotaria74@prodigy.net.mx,
13,NOTARÍA 77, HERMOSILLO, SONORA, CARACTER: TITULAR, GARMENDIA 137, MODELO  HERMOSILLO, SONORA, Socio desde: 2010, 01 662 210 6775,carolina.montiel@notaria77yconsultores.com,
