,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 27, VILLAHERMOSA, TABASCO, CARACTER: TITULAR, PLUTARCO ELIAS CALLES 515, JESUS GARCIA  VILLAHERMOSA, TABASCO, Socio desde: 2002, 0199 3352 1696,notaria27tabasco@hotmail.com
1,NOTARÍA 27, VILLAHERMOSA, TABASCO, CARACTER: SUPLENTE, PLUTARCO ELIAS CALLES 515, JESUS GARCIA  VILLAHERMOSA, TABASCO, Socio desde: 2013, 01 993 352 1696,adelanot27@hotmail.com
2,NOTARÍA 1, TACOTALPA, TABASCO, CARACTER: TITULAR, PLAZA BENITO JUAREZ 20, CENTRO  TACOTALPA, TABASCO, Socio desde: 2019, 01 932 32 242 469,notaria1tacotalpa@gmail.com
3,NOTARÍA 2, NACAJUCA, TABASCO, CARACTER: ADSCRITO, AV. DEL BOSQUE , BOSQUES DE SALOYA  NACAJUCA, TABASCO, Socio desde: 2010, 01 993 316 9488,adscrito@notaria2nacajucatab.com
4,NOTARÍA 2, NACAJUCA, TABASCO, CARACTER: TITULAR, AVENIDA DEL BOSQUE , BOSQUES DE SALOYA  NACAJUCA, TABASCO, Socio desde: 2007, 01993 3169488,titular@notaria2nacajucatab.com
5,NOTARÍA 10, VILLLAHERMOSA, TABASCO, CARACTER: TITULAR, AV. PASEO DE LA SIERRA 229 INT. EDIFICIO A P.B., REFORMA  VILLLAHERMOSA, TABASCO, Socio desde: 2013, 01 993 315 87 17 ,anibal.pedrero@apb.com.mx
6,NOTARÍA 1, COMALCALCO, TABASCO, CARACTER: TITULAR, BLVD. LEANDRO ROVIROSA WADE 359, BUENAVISTA  COMALCALCO, TABASCO, Socio desde: 2005, 01 933 334 97 29,notaria1comalcalco@prodigy.net.mx
7,NOTARÍA 2, VILLAHERMOSA, TABASCO, CARACTER: SUPLENTE, MELCHOR OCAMPO 113, CENTRO  VILLAHERMOSA, TABASCO, Socio desde: 2013, ,notaria2cfdi@hotmail.com
8,NOTARÍA 28, VILLAHERMOSA, TABASCO, CARACTER: INTERINO, IGNACIO ZARAGOZA 704, CENTRO  VILLAHERMOSA, TABASCO, Socio desde: 2005, 01 993 312 28 50,nota28@prodigy.net.mx
9,NOTARÍA 37, VILLAHERMOSA, TABASCO, CARACTER: TITULAR, AV. PASEO TABASCO 508 INT. PISO 1, CENTRO  VILLAHERMOSA, TABASCO, Socio desde: 2018, 01 993 314 29 61,notariapublic37@gmail.com
10,NOTARÍA 20, VILLAHERMOSA, TABASCO, CARACTER: TITULAR, 5 DE MAYO 407, CENTRO  VILLAHERMOSA, TABASCO, Socio desde: 1984, 01 993-312-40-19,cfdagdug@hotmail.com
11,NOTARÍA 3, CARDENAS, TABASCO, CARACTER: TITULAR, JOSEFA ORTIZ DE DOMINGUEZ 103 ALTOS, CENTRO  CARDENAS, TABASCO, Socio desde: 2016, 9373228681,notaria3cardenastabmex@hotmail.com
12,NOTARÍA 2, HUIMANGUILLO, TABASCO, CARACTER: TITULAR, RAFAEL MARTINEZ DE ESCOBAR 35, CENTRO  HUIMANGUILLO, TABASCO, Socio desde: 2003, 01 917 37 500 82,notariap2@gmail.com
13,NOTARÍA 1, TENOSIQUE, TABASCO, CARACTER: TITULAR, CALLE 19 203, CENTRO  TENOSIQUE, TABASCO, Socio desde: 2003, 01 934 342 27 07,notaria1_tenosique@hotmail.com
14,NOTARÍA 3, TEAPA, TABASCO, CARACTER: TITULAR, BOULEVARD FRANCISCO TRUJILLO GURRIA 227, CENTRO  TEAPA, TABASCO, Socio desde: 2014, ,emilio_antonio_contreras@hotmail.com
15,NOTARÍA 25, VILLAHERMOSA, TABASCO, CARACTER: TITULAR, CALLE ALLENDE 202, CENTRO  VILLAHERMOSA, TABASCO, Socio desde: 2001, 01 993 312 8576,notaria25tabasco@yahoo.com.mx
16,NOTARÍA 2, CARDENAS, TABASCO, CARACTER: TITULAR, VICENTE GUERRERO 303, CENTRO  CARDENAS, TABASCO, Socio desde: 1980, 01 937*372.19.03,eponotaria2@hotmail.com
17,NOTARÍA 3, NACAJUCA, TABASCO, CARACTER: TITULAR, JOSE MARIA MORELOS S/N, EL CARMEN  NACAJUCA, TABASCO, Socio desde: 2007, ,eventre@prodigy.net.mx
18,NOTARÍA 34, VILLAHERMOSA, TABASCO, CARACTER: TITULAR, AV. CIRCUITO INTERIOR CARLOS PELLICER CAMARA 631 INT. LOCAL 37 Y 38, TAMULTE  VILLAHERMOSA, TABASCO, Socio desde: 2004, 01993 351.93.57,felixjorgedavidgonzalez@gmail.com
