,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 43, REYNOSA, TAMAULIPAS, CARACTER: ADSCRITO, CALLE QUINTA 430, PROLONGACION LONGORIA  REYNOSA, TAMAULIPAS, Socio desde: 2016, 01 899 925 86 00,notariap43@gmail.com ,
1,NOTARÍA 100, REYNOSA, TAMAULIPAS, CARACTER: TITULAR, HIDALGO 990 NTE INT. A, ZONA CENTRO  REYNOSA, TAMAULIPAS, Socio desde: 2010, 01 899 922 0620,adrian_garzar@hotmail.com,
2,NOTARÍA 4, TAMPICO, TAMAULIPAS, CARACTER: TITULAR, AV. ROTARIA INT. LOCAL 8 – A, PETROLERA  TAMPICO, TAMAULIPAS, Socio desde: 2005, 0183 3213 9111,np4tampico@prodigy.net.mx,
3,NOTARÍA 215, CD. VICTORIA, TAMAULIPAS, CARACTER: TITULAR, DR NORBERTO TREVIÑO ZAPATA 223, ZONA CENTRO  CD. VICTORIA, TAMAULIPAS, Socio desde: 1998, ,notaria215@hotmail.com,
4,NOTARÍA 302, ALTAMIRA, TAMAULIPAS, CARACTER: TITULAR, CAPITAN PEREZ 202, ZONA CENTRO  ALTAMIRA, TAMAULIPAS, Socio desde: 2005, 01 833 264 58 57,notaria_302@hotmail.com,
5,NOTARÍA 233, REYNOSA, TAMAULIPAS, CARACTER: TITULAR, HERMOSILLO 175, RODRIGUEZ  REYNOSA, TAMAULIPAS, Socio desde: 2000, 01(899) 925-55-85,alfonso_notaria233@outlook.com,
6,NOTARÍA 135, REYNOSA, TAMAULIPAS, CARACTER: TITULAR, MICHOACAN 590, RODRIGUEZ  REYNOSA, TAMAULIPAS, Socio desde: 2012, 8999225267,notaria135@prodigy.net.mx,
7,NOTARÍA 147, REYNOSA, TAMAULIPAS, CARACTER: ADSCRITO, HERIBERTO DEANDAR AMADOR 228, DOCTORES  REYNOSA, TAMAULIPAS, Socio desde: 2016, 899-924-57-00,notaria147@prodigy.net.mx,
8,NOTARÍA 309, H. MATAMOROS, TAMAULIPAS, CARACTER: TITULAR, CANALES 197 INT. A, ALIANZA  H. MATAMOROS, TAMAULIPAS, Socio desde: 2005, 01 86 88 16 53 11,notaria309@hotmail.com,
9,NOTARÍA 192, TAMPICO, TAMAULIPAS, CARACTER: TITULAR, EMILIO CARRANZA 505 OTE INT. ALTOS D-4, ZONA CENTRO  TAMPICO, TAMAULIPAS, Socio desde: 2000, 01 833 214 49 56,notaria192tam@prodigy.net.mx,
10,NOTARÍA 35, REYNOSA, TAMAULIPAS, CARACTER: TITULAR, AGUASCALIENTES 1040, RODRIGUEZ  REYNOSA, TAMAULIPAS, Socio desde: 2004, 01 899 924 52 37,ctreynosa@hotmail.com,
11,NOTARÍA 70, CD. VICTORIA, TAMAULIPAS, CARACTER: TITULAR, JUAREZ ORIENTE 148, CENTRO  CD. VICTORIA, TAMAULIPAS, Socio desde: 1976, 01(834)312-12-42,notpub70@prodigy.net.mx,
12,NOTARÍA 80, VICTORIA, TAMAULIPAS, CARACTER: ADSCRITO, JUAREZ ORIENTE CON 5 DE MAYO SUR 148, ZONA CENTRO  VICTORIA, TAMAULIPAS, Socio desde: 2010, 01 834 312 0852,antoniomtz@hotmail.com,
13,NOTARÍA 175, ALTAMIRA, TAMAULIPAS, CARACTER: TITULAR, BOULEVARD DE LOS RIOS 3800, PUERTO INDUSTRIAL  ALTAMIRA, TAMAULIPAS, Socio desde: 2015, 01 833 260 9056,Sandra.perez@np175.com,
14,NOTARÍA 54, NUEVO LAREDO, TAMAULIPAS, CARACTER: TITULAR, SONORA 2035 INT. 2, GUERRERO  NUEVO LAREDO, TAMAULIPAS, Socio desde: 1999, 0186 7715 3277,barbarasegovia@hotmail.com,
