,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 1, VILLA VICENTE GUERRERO, TLAXCALA, CARACTER: TITULAR, PABLO SIDAR SUR , BARRIO DE SAN BARTOLOME  VILLA VICENTE GUERRERO, TLAXCALA, Socio desde: 1995, 01(222) 282-00-39,sanchezhamud@prodigy.net.mx
1,NOTARÍA 3, CALPULALPAN, TLAXCALA, CARACTER: TITULAR, AV. MEXICO- VERACRUZ 44, LA CAÑADA  CALPULALPAN, TLAXCALA, Socio desde: 2019, 0124 61 09 28 28,notario3calpulalpan@hotmail.com
2,NOTARÍA 2, ZACATELCO, TLAXCALA, CARACTER: TITULAR, ALLENDE ORIENTE 29, SECCION PRIMERA CENTRO  ZACATELCO, TLAXCALA, Socio desde: 2017, 01 246 497 66 43,notaria2zacatelco@hotmail.com
3,NOTARÍA 3, HUAMANTLA, TLAXCALA, CARACTER: TITULAR, REFORMA SUR 210, CENTRO  HUAMANTLA, TLAXCALA, Socio desde: 2017, 01 247 472 72 93,notario@notaria3huamantla.com
4,NOTARÍA 1, HUAMANTLA, TLAXCALA, CARACTER: TITULAR, ZARAGOZA PTE 213, CENTRO  HUAMANTLA, TLAXCALA, Socio desde: 1985, 0124 7472 1821,notahuamantla@prodigy.net.mx
5,NOTARÍA 1, CHIAUTEMPAN, TLAXCALA, CARACTER: TITULAR, EMILIO SANCHEZ PIEDRAS 26, CENTRO  CHIAUTEMPAN, TLAXCALA, Socio desde: 2018, 01 246464 44 97,csm.1371@gmail.com
6,NOTARÍA 3, APIZACO, TLAXCALA, CARACTER: TITULAR, TOLTECAPA 3505, ZARAGOZA  APIZACO, TLAXCALA, Socio desde: 2017, 01 241 417 64 75,notaria3_apizaco@hotmail.com
7,NOTARÍA 1, APIZACO, TLAXCALA, CARACTER: TITULAR, CALLE 5 DE FEBRERO 601 INT. 1, ZONA CENTRO  APIZACO, TLAXCALA, Socio desde: 1983, ,notario@not1apiz.com.mx
8,NOTARÍA 3, ZACATELCO, TLAXCALA, CARACTER: TITULAR, INDEPENDENCIA 17 INT. 1, CENTRO  ZACATELCO, TLAXCALA, Socio desde: 2011, 01 246 49 73 532,licgermanescobar@notaria3zaragoza.com.mx
9,NOTARÍA 3, TLAXCO, TLAXCALA, CARACTER: TITULAR, FRANCISCO I. MADERO 20, CENTRO  TLAXCO, TLAXCALA, Socio desde: 2017, 01 241 49 60 287,notaria3tlaxco@gmail.com
10,NOTARÍA 2, HUAMANTLA, TLAXCALA, CARACTER: TITULAR, REFORMA SUR 106, CENTRO  HUAMANTLA, TLAXCALA, Socio desde: 2006, ,notaria2h@prodigy.net.mx
11,NOTARÍA 2, APIZACO, TLAXCALA, CARACTER: TITULAR, 5 DE MAYO 500, CENTRO  APIZACO, TLAXCALA, Socio desde: 2017, 2414 171766,notaria2apizaco@gmail.com
12,NOTARÍA 1, TLAXCO, TLAXCALA, CARACTER: TITULAR, FRANCISCO I. MADERO 77, EJIDAL  TLAXCO, TLAXCALA, Socio desde: 1983, 01 241 496 00 55,rayimary@hotmail.com
13,NOTARÍA 4, ZACATELCO, TLAXCALA, CARACTER: TITULAR, AVENIDA LIBERTAD 66, SECCION PRIMERA  ZACATELCO, TLAXCALA, Socio desde: 2017, 01 246 151 00 36,notariapublica4zacatelco@gmail.com
14,NOTARÍA 2, TLAXCALA, TLAXCALA, CARACTER: TITULAR, PRIVADA ANTONIO DIAZ VARELA 14 C, CENTRO SANTA ANA CHIAUTEMPAN  TLAXCALA, TLAXCALA, Socio desde: 2011, 01 246 46 49749,notario2chiautempan@gmail.com
15,NOTARÍA 3, CHIAUTEMPAN, TLAXCALA, CARACTER: TITULAR, ALLENDE ORIENTE 4 INT. LOCAL 15-16 PLAZA SOLE, CENTRO  CHIAUTEMPAN, TLAXCALA, Socio desde: 2017, 01 246 144 31 04,notaria3_rcs@hotmail.com
16,NOTARÍA 4, SAN PABLO DEL MONTE, TLAXCALA, CARACTER: TITULAR, PUEBLA NORTE 52, BARRIO SAN MIGUEL  SAN PABLO DEL MONTE, TLAXCALA, Socio desde: 2017, 01 222 281 1560,notaria4xicofov@gmail.com
17,NOTARÍA 2, TLAXCO, TLAXCALA, CARACTER: TITULAR, FRANCISCO I. MADERO 77 INT. C, EJIDAL  TLAXCO, TLAXCALA, Socio desde: 2017, 01 241 496 13 55,scabrera@notaria2tlaxco.com
