,0,1,2,3,4,5,6,7,8,11,12
0,NOTARÍA 7, POZA RICA, VERACRUZ, CARACTER: TITULAR, BLVD. ADOLFO RUIZ CORTINEZ 504, OBRAS SOCIALES  POZA RICA, VERACRUZ, Socio desde: 2007, 7828224511,rcapitanachi@prodigy.net.mx,
1,NOTARÍA 11, TIHUATLAN, VERACRUZ, CARACTER: TITULAR, BLVD. ACCESO AL PUENTE CAZONES II S/N INT. 1 – ALTOS, PLAN DE AYALA  TIHUATLAN, VERACRUZ, Socio desde: 2010, 01 782 111 8675,notaria11t@prodigy.net.mx,
2,NOTARÍA 44, TLALIXCOYAN, VERACRUZ, CARACTER: TITULAR, HEROE DE NACOZARI 104 INT. BIS, CENTRO PIEDRAS NEGRAS  TLALIXCOYAN, VERACRUZ, Socio desde: 2011, ,notaria44tlalixcoyan@gmail.com,
3,NOTARÍA 27, COATZACOALCOS, VERACRUZ, CARACTER: TITULAR, GUTIERREZ ZAMORA 403 INT. B, CENTRO  COATZACOALCOS, VERACRUZ, Socio desde: 2005, 0192 1212 0280,aroche74@hotmail.com,
4,NOTARÍA 23, VERACRUZ, VERACRUZ, CARACTER: TITULAR, BLVD. MANUEL AVILA CAMACHO PLAZA ACUARIO INT. 4 PLANTA ALTA, FLORES MAGON  VERACRUZ, VERACRUZ, Socio desde: 2005, ,comunicados@notaria23veracruz.com.mx,
5,NOTARÍA 4, COATEPEC, VERACRUZ, CARACTER: TITULAR, TERAN 60, COATEPEC CENTRO  COATEPEC, VERACRUZ, Socio desde: 2015, 228 8160 140,notaria4coatepec@gmail.com,
6,NOTARÍA 5, CORDOBA, VERACRUZ, CARACTER: TITULAR, AV. 1 516 INT. ALTOS, CENTRO  CORDOBA, VERACRUZ, Socio desde: 1981, 01 271 712 5756,not5cor@hotmail.com,
7,NOTARÍA 7, JALTIPAN, VERACRUZ, CARACTER: TITULAR, IGNACIO DE LA LLAVE 305, CENTRO  JALTIPAN, VERACRUZ, Socio desde: 2011, 01 922 264 8248,notaria7jaltipan@hotmail.com,
8,NOTARÍA 20, TEZONAPA, VERACRUZ, CARACTER: TITULAR, CALLE DEHESA 3, CENTRO  TEZONAPA, VERACRUZ, Socio desde: 2012, 01 272 107 8712,avallejom@hotmail.com,
9,NOTARÍA 10, ORIZABA, VERACRUZ, CARACTER: TITULAR, SUR 5 NOS 157 Y 167, CENTRO  ORIZABA, VERACRUZ, Socio desde: 1995, 01(272) 725-09-16,notariapublica10@yahoo.com.mx,
