,0,1,2,3,4,5,6,7,8,11
0,NOTARÍA 39, OJO CALIENTE, ZACATECAS, CARACTER: TITULAR, CASTORENA 21, CENTRO  OJO CALIENTE, ZACATECAS, Socio desde: 2008, 01 458 9440114,notaria39zac@hotmail.com
1,NOTARÍA 43, ZACATECAS, ZACATECAS, CARACTER: TITULAR, AV. TORREON 313 INT. 4 PRIMER PISO, CENTRO  ZACATECAS, ZACATECAS, Socio desde: 2011, 01 492 922 2782,notzac43@gmail.com
2,NOTARÍA 17, JEREZ DE GARCIA SALINAS, ZACATECAS, CARACTER: TITULAR, DEL HOSPICIO 71, CENTRO  JEREZ DE GARCIA SALINAS, ZACATECAS, Socio desde: 1988, LOS MISMOS,cristinadelreal@yahoo.com.mx
3,NOTARÍA 51, JEREZ DE GARCIA SALINAS, ZACATECAS, CARACTER: TITULAR, ALLENDE 29, CENTRO  JEREZ DE GARCIA SALINAS, ZACATECAS, Socio desde: 2005, 01 494 945 4198,eliobardo_not51@hotmail.com
4,NOTARÍA 34, VILLANUEVA, ZACATECAS, CARACTER: TITULAR, INDEPENDENCIA 5, CENTRO  VILLANUEVA, ZACATECAS, Socio desde: 1993, 01 492-926-04-20,np34_zac@hotmail.com
5,NOTARÍA 32, FRESNILLO, ZACATECAS, CARACTER: TITULAR, CALLE CADENA 113, CENTRO  FRESNILLO, ZACATECAS, Socio desde: 2007, 0149 3932 3062,notar32zac@prodigy.net.mx
6,NOTARÍA 23, JUCHIPILA, ZACATECAS, CARACTER: TITULAR, MIXTON 100, CENTRO  JUCHIPILA, ZACATECAS, Socio desde: 1989, (01 467) 952-00-81,eulogionotaria23@hotmail.com
7,NOTARÍA 1, ZACATECAS, ZACATECAS, CARACTER: ADSCRITO, DIEGO DE IBARRA 102, SIERRA DE ALICA  ZACATECAS, ZACATECAS, Socio desde: 2016, 492 922 0059,lics_jimenez@hotmail.com
8,NOTARÍA 42, ZACATECAS, ZACATECAS, CARACTER: TITULAR, AV. PREPARATORIA 326, AGRONOMICA II  ZACATECAS, ZACATECAS, Socio desde: 2007, 01 492 998 0860,notaria42zac@prodigy.net.mx
9,NOTARÍA 30, ZACATECAS, ZACATECAS, CARACTER: TITULAR, CALLE DE LA UNIÓN 103 INT. G, CENTRO  ZACATECAS, ZACATECAS, Socio desde: 1998, LOS MISMOS,jsantoyocastro@yahoo.com.mx
10,NOTARÍA 22, JEREZ DE GARCIA SALINAS, ZACATECAS, CARACTER: TITULAR, CALLE DEL HOSPICIO 35, CENTRO  JEREZ DE GARCIA SALINAS, ZACATECAS, Socio desde: 1989, 01 494-945-43-62,javiermendez22@prodigy.net.mx
11,NOTARÍA 31, GUADALUPE, ZACATECAS, CARACTER: TITULAR, AV. H. COLEGIO MILITAR 41 PTE, CENTRO  GUADALUPE, ZACATECAS, Socio desde: 1995, LOS MISMOS,lopeznotario31@prodigy.net.mx
12,NOTARÍA 38, GUADALUPE, ZACATECAS, CARACTER: TITULAR, ALAMEDA 22 INT. ALTOS, CENTRO  GUADALUPE, ZACATECAS, Socio desde: 2002, (01492)9-21-21-61,notari38@prodigy.net.mx
13,NOTARÍA 46, FRESNILLO, ZACATECAS, CARACTER: TITULAR, AVENIDA GARCIA SALINAS 460, CENTRO  FRESNILLO, ZACATECAS, Socio desde: 2015, ,estradagp@hotmail.com
14,NOTARÍA 53, LORETO, ZACATECAS, CARACTER: TITULAR, GONZALEZ ORTEGA 305 NTE, CENTRO  LORETO, ZACATECAS, Socio desde: 2005, 01 496 9622188,notaria53zac_1@hotmail.com
15,NOTARÍA 25, SOMBRERETE, ZACATECAS, CARACTER: TITULAR, EX-HACIENDA GRANDE 61, CENTRO  SOMBRERETE, ZACATECAS, Socio desde: 2002, 01 433 93 508 68,lic.velazquez69@hotmail.com
16,NOTARÍA 20, RIO GRANDE, ZACATECAS, CARACTER: TITULAR, CONSTITUCION 57-A, CENTRO  RIO GRANDE, ZACATECAS, Socio desde: 1989, 0149 8982 0452,notarioxx@hotmail.com
17,NOTARÍA 18, SOMBRERETE, ZACATECAS, CARACTER: TITULAR, PLAZUELA BELEN MATA 330, CENTRO  SOMBRERETE, ZACATECAS, Socio desde: 1993, 0143 3935 0419,notaria18zac@hotmail.com
18,NOTARÍA 47, VILLANUEVA, ZACATECAS, CARACTER: TITULAR, INDEPENDENCIA 6 INT. B, CENTRO  VILLANUEVA, ZACATECAS, Socio desde: 2007, 01 499 92 61318,licborjanotario47@hotmail.com
19,NOTARÍA 37, ZACATECAS, ZACATECAS, CARACTER: TITULAR, PASEO FCO. GARCIA SALINAS 208, FRACC. LA JOYA  ZACATECAS, ZACATECAS, Socio desde: 1999, 01(492) 92 33 992,notpub37@prodigy.net.mx
20,NOTARÍA 8, NOCHISTLAN, ZACATECAS, CARACTER: TITULAR, CALLE VICENTE GUERRERO 13, ZONA CENTRO  NOCHISTLAN, ZACATECAS, Socio desde: 1979, (01 346) 713-30-30,papadonmanuel@hotmail.com
21,NOTARÍA 33, CALERA DE VICTOR ROSALES, ZACATECAS, CARACTER: TITULAR, CALLE MORELOS 212 PTE, ZONA CENTRO  CALERA DE VICTOR ROSALES, ZACATECAS, Socio desde: 2008, 01 478 98 51011,not33_chrmf@hotmail.com
22,NOTARÍA 44, GUADALUPE, ZACATECAS, CARACTER: ADSCRITO, VIALIDAD ARROYO DE LA PLATA 110, LA PURISIMA  GUADALUPE, ZACATECAS, Socio desde: 2016, 4929278369,rmigueldesantiago@hotmail.com
23,NOTARÍA 24, VALPARAISO, ZACATECAS, CARACTER: TITULAR, INDEPENDENCIA 114, CENTRO  VALPARAISO, ZACATECAS, Socio desde: 1989, ,notaria24_rodarte@hotmail.com
24,NOTARÍA 40, JALPA, ZACATECAS, CARACTER: TITULAR, SOR JUANA INES DE LA CRUZ 1013, SAN ANTONIO  JALPA, ZACATECAS, Socio desde: 1999, ,notario_40@hotmail.com
25,NOTARÍA 21, RIO GRANDE, ZACATECAS, CARACTER: TITULAR, CONSTITUCION 65 INT. 1, CENTRO  RIO GRANDE, ZACATECAS, Socio desde: 1990, 01 498-982-06-18,notaria212000@yahoo.com.mx
26,NOTARÍA 45, FRESNILLO, ZACATECAS, CARACTER: TITULAR, BARRENO 122, CENTRO  FRESNILLO, ZACATECAS, Socio desde: 2005, 01 493 93 364 86,scastanedas@prodigy.net.mx
27,NOTARÍA 36, PINOS, ZACATECAS, CARACTER: TITULAR, J. ENCARNACION ORTIZ 20, CENTRO  PINOS, ZACATECAS, Socio desde: 1999, 01(496) 864-00-30,sihonot36@hotmail.com
28,NOTARÍA 7, ZACATECAS, ZACATECAS, CARACTER: TITULAR, CALLEJON DEL SANTERO 111 INT. 1, CENTRO  ZACATECAS, ZACATECAS, Socio desde: 1987, (01 492) 922-02-09,tarsiciofelixnotaria7@hotmail.com
29,NOTARÍA 29, ZACATECAS, ZACATECAS, CARACTER: TITULAR, AV. UNIVERSIDAD 232, LA LOMA  ZACATECAS, ZACATECAS, Socio desde: 1989, 01 492 924 3242,notaria29zac@prodigy.net.mx
